,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,srno
75,0.174,1981,0.584,['Journey'],0.405,202173,0.21,0,2w4EpqGasrz9qdTwocx54t,0.0,2,0.139,-13.214,1,Open Arms,70,1981,0.0279,100.57700000000001,75
76,0.433,1981,0.31,['Foreigner'],0.33,292067,0.469,0,2OgVsp77En2nju8pnCieVU,2.3e-06,10,0.0402,-9.286,0,Waiting for a Girl like You,70,1981,0.0335,201.327,76
77,0.40700000000000003,1981,0.36200000000000004,['Bruce Springsteen'],0.35700000000000004,267600,0.6679999999999999,0,6s2wpWPFPAgKg2LXxi1Oee,1.37e-06,0,0.727,-8.443999999999999,1,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",70,1981,0.0479,139.986,77
78,0.518,1981,0.16899999999999998,['Christopher Cross'],0.526,234493,0.515,0,5fnOrhQ4KgT5irGCjIccGH,0.000816,9,0.18100000000000002,-11.169,1,Arthur's Theme (Best That You Can Do),69,1981,0.0389,136.543,78
79,0.305,1981,0.0953,['Kim Wilde'],0.557,205533,0.782,0,1YGZyfvdgZxzipWoWYVKxi,6.75e-06,4,0.11800000000000001,-3.8989999999999996,1,Kids In America,69,1981,0.0475,159.621,79
80,0.732,1982,0.257,['TOTO'],0.6709999999999999,295893,0.373,0,2374M0fQpWi3dLnB54qaLX,8.01e-05,9,0.0481,-18.064,1,Africa,83,1982-04-08,0.0323,92.71799999999999,80
81,0.847,1982,0.0236,['Michael Jackson'],0.92,293827,0.654,0,5ChkMS8OtdzJeqyybCc9R5,0.0158,11,0.0359,-3.051,0,Billie Jean,83,1982-11-30,0.0401,117.046,81
82,0.816,1982,0.079,['The Clash'],0.742,188987,0.833,0,39shmbIHICJ2Wxnk1fPSdz,0.0,2,0.384,-6.462999999999999,1,Should I Stay or Should I Go - Remastered,79,1982,0.115,113.375,82
83,0.915,1982,0.0491,['Michael Jackson'],0.779,258040,0.867,0,1OOtq8tRnDM8kG2gqUPjAj,7.98e-06,3,0.19699999999999998,-3.7039999999999997,0,Beat It,79,1982-11-30,0.0457,138.858,83
84,0.763,1982,0.0261,['Phil Collins'],0.62,175747,0.9359999999999999,0,4YwbSZaYeYja8Umyt222Qf,0.0,7,0.0679,-4.593,1,You Can't Hurry Love - 2016 Remaster,77,1982-11-05,0.0308,97.527,84
85,0.782,1982,0.664,['Dexys Midnight Runners'],0.45,287307,0.6559999999999999,0,3MrWxJaD2AT0W9DjWF64Vm,3.02e-06,2,0.259,-7.0489999999999995,1,Come On Eileen,76,1982-07-22,0.0472,106.61,85
86,0.626,1982,0.0365,['John Mellencamp'],0.8109999999999999,254493,0.41,0,43btz2xjMKpcmjkuRsvxyg,6.63e-06,9,0.0799,-8.214,1,Jack & Diane,74,1982,0.0391,103.965,86
87,0.823,1982,0.0405,['Daryl Hall & John Oates'],0.7240000000000001,273173,0.498,0,7j74lucZ59vqN67Ipe2ZcY,8.56e-05,11,0.0761,-13.083,0,Maneater,74,1982-10-04,0.0423,88.825,87
88,0.552,1982,0.21600000000000005,['Survivor'],0.815,243773,0.43799999999999994,0,2HHtWyy5CgaQbC7XSoOb0e,0.000466,0,0.0787,-14.522,0,Eye of the Tiger,74,1982,0.0346,108.965,88
89,0.685,1982,0.0433,['Duran Duran'],0.691,220627,0.812,0,39lSeqnyjZJejRuaREfyLL,1.16e-06,0,0.299,-7.772,1,Hungry Like the Wolf - 2009 Remaster,73,1982-05-10,0.0558,127.568,89
